epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,493.09,0.58264,0.49386,1.04818,0.66698,0.70426,0.72482,0.61049,0.69331,1.12382,0.92272,0.000696621,0.000696621,0.000696621
120,497.193,0.57448,0.48297,1.02565,0.65497,0.70059,0.71168,0.59692,0.69634,1.11655,0.92859,0.000694821,0.000694821,0.000694821
121,501.291,0.5998,0.50436,1.04175,0.65956,0.71067,0.72053,0.60869,0.72295,1.13962,0.95912,0.000693022,0.000693022,0.000693022
122,505.399,0.59524,0.52895,1.04765,0.63971,0.73162,0.71386,0.60368,0.68826,1.12618,0.91518,0.000691222,0.000691222,0.000691222
123,509.478,0.57533,0.48351,1.03715,0.69446,0.66756,0.70893,0.59591,0.71244,1.13303,0.93271,0.000689422,0.000689422,0.000689422
124,513.548,0.60234,0.50182,1.04055,0.63466,0.70455,0.71479,0.5924,0.75983,1.16251,0.97142,0.000687622,0.000687622,0.000687622
125,517.637,0.59768,0.50988,1.06001,0.69421,0.68477,0.72265,0.60706,0.7114,1.12147,0.92954,0.000685822,0.000685822,0.000685822
126,521.754,0.59461,0.47979,1.03675,0.69036,0.67078,0.7078,0.5993,0.69194,1.098,0.91276,0.000684022,0.000684022,0.000684022
127,525.852,0.58852,0.49508,1.03533,0.65846,0.69414,0.71763,0.60563,0.69433,1.13622,0.92446,0.000682223,0.000682223,0.000682223
128,529.915,0.58604,0.48357,1.03881,0.64978,0.6881,0.70684,0.59699,0.7108,1.14861,0.9372,0.000680423,0.000680423,0.000680423
129,534.009,0.57318,0.49029,1.0393,0.67191,0.69224,0.7189,0.60665,0.71372,1.16624,0.93839,0.000678623,0.000678623,0.000678623
130,538.097,0.56736,0.46571,1.02591,0.6675,0.70434,0.68809,0.57887,0.69812,1.1413,0.92144,0.000676823,0.000676823,0.000676823
131,542.212,0.56543,0.46519,1.02433,0.67014,0.68507,0.6967,0.58031,0.69146,1.12906,0.91139,0.000675023,0.000675023,0.000675023
132,546.351,0.58934,0.45587,1.03451,0.70301,0.69866,0.71318,0.59844,0.71319,1.1225,0.96477,0.000673224,0.000673224,0.000673224
133,550.513,0.56704,0.46449,1.038,0.6358,0.73859,0.70618,0.59784,0.68821,1.16755,0.91402,0.000671424,0.000671424,0.000671424
134,554.65,0.56273,0.4536,1.03474,0.62798,0.72997,0.69521,0.58573,0.70101,1.16178,0.92242,0.000669624,0.000669624,0.000669624
135,558.741,0.56881,0.44964,1.02575,0.66772,0.69661,0.70627,0.59269,0.72193,1.07309,0.95832,0.000667824,0.000667824,0.000667824
136,562.864,0.57568,0.45563,1.02176,0.70673,0.65455,0.72467,0.61017,0.7004,1.1581,0.94228,0.000666024,0.000666024,0.000666024
137,567.01,0.53992,0.44176,1.01633,0.66908,0.68111,0.71096,0.59862,0.72398,1.16131,0.94989,0.000664224,0.000664224,0.000664224
138,571.104,0.56751,0.42545,1.02599,0.68767,0.68382,0.71795,0.60687,0.71145,1.0918,0.9411,0.000662425,0.000662425,0.000662425
139,575.196,0.54846,0.44749,1.01402,0.67613,0.71545,0.73089,0.62233,0.69159,1.08692,0.9337,0.000660625,0.000660625,0.000660625
140,579.299,0.5708,0.45202,1.03154,0.64979,0.73885,0.72702,0.61404,0.70769,1.04733,0.9333,0.000658825,0.000658825,0.000658825
141,583.392,0.54573,0.41327,1.01302,0.66817,0.68334,0.72504,0.60923,0.7293,1.08783,0.9658,0.000657025,0.000657025,0.000657025
142,587.511,0.54569,0.41369,1.00692,0.59902,0.71927,0.69334,0.58495,0.71243,1.22157,0.95072,0.000655225,0.000655225,0.000655225
143,591.639,0.53286,0.42436,1.02111,0.64472,0.71468,0.71303,0.60279,0.73507,1.16626,0.99117,0.000653426,0.000653426,0.000653426
144,595.754,0.53494,0.40984,1.01044,0.65011,0.72333,0.71205,0.5971,0.67482,1.11295,0.90209,0.000651626,0.000651626,0.000651626
145,599.867,0.52549,0.41149,1.00624,0.64398,0.72606,0.70892,0.59791,0.72881,1.1838,0.981,0.000649826,0.000649826,0.000649826
146,603.972,0.54161,0.42936,1.01716,0.67337,0.70384,0.71836,0.60599,0.7131,1.18699,0.94331,0.000648026,0.000648026,0.000648026
147,608.056,0.51937,0.40535,1.01139,0.67673,0.66778,0.70975,0.60089,0.70267,1.13196,0.94011,0.000646226,0.000646226,0.000646226
148,612.154,0.53558,0.42543,1.01403,0.66052,0.71811,0.72852,0.61703,0.69615,1.09993,0.92606,0.000644426,0.000644426,0.000644426
149,616.273,0.54862,0.40629,1.01921,0.64087,0.70417,0.71047,0.60229,0.70536,1.17692,0.954,0.000642627,0.000642627,0.000642627
150,620.489,0.52953,0.39817,1.00779,0.65806,0.71071,0.71822,0.60762,0.72189,1.19351,0.97022,0.000640827,0.000640827,0.000640827
