epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,9913.07,0.02376,0.50889,0.89878,0.67375,0.71491,0.74683,0.74679,0.09512,0.73765,0.12154,0.007591,0.007591,0.007591
75,10045.7,0.02279,0.50625,0.8989,0.67388,0.7159,0.74705,0.74701,0.09589,0.7377,0.12237,0.007558,0.007558,0.007558
76,10175.7,0.02352,0.50207,0.90136,0.67307,0.71711,0.74762,0.74752,0.09635,0.73799,0.12291,0.007525,0.007525,0.007525
77,10306.7,0.02454,0.48953,0.90095,0.67029,0.71911,0.74784,0.74782,0.0972,0.73838,0.12407,0.007492,0.007492,0.007492
78,10438.8,0.0235,0.48883,0.8967,0.66853,0.7229,0.74853,0.74845,0.09809,0.73833,0.12494,0.007459,0.007459,0.007459
79,10569.3,0.02337,0.48544,0.90044,0.66745,0.72617,0.74932,0.74927,0.09837,0.73764,0.1252,0.007426,0.007426,0.007426
80,10700.6,0.02435,0.48291,0.89997,0.67014,0.72614,0.7501,0.75006,0.0972,0.73676,0.12402,0.007393,0.007393,0.007393
81,10832.5,0.02481,0.47015,0.89809,0.67442,0.72149,0.7507,0.75057,0.09607,0.73572,0.123,0.00736,0.00736,0.00736
82,10965.1,0.02573,0.46311,0.90009,0.67417,0.72236,0.75125,0.75068,0.09716,0.73779,0.1234,0.007327,0.007327,0.007327
83,11096.6,inf,0.45823,0.89932,0.66699,0.72872,0.75125,0.74888,0.10511,0.74973,0.12984,0.007294,0.007294,0.007294
84,11229.5,0.02451,0.45698,0.89887,0.66932,0.72837,0.75199,0.74711,0.11407,0.76374,0.13759,0.007261,0.007261,0.007261
85,11362,inf,0.45057,0.90022,0.67031,0.72756,0.75276,0.74095,0.13658,0.80112,0.1572,0.007228,0.007228,0.007228
86,11493.9,0.02544,0.45316,0.90035,0.67769,0.71938,0.75318,0.7383,0.15707,0.83234,0.1739,0.007195,0.007195,0.007195
87,11625.1,0.02337,0.44069,0.89778,0.67574,0.72131,0.75407,0.7406,0.15023,0.82299,0.16817,0.007162,0.007162,0.007162
88,11757.2,0.0236,0.4359,0.89878,0.67398,0.72462,0.75422,0.74178,0.14623,0.81728,0.16482,0.007129,0.007129,0.007129
89,11889.3,0.02379,0.42723,0.89941,0.67722,0.72228,0.7547,0.74292,0.14461,0.81681,0.16387,0.007096,0.007096,0.007096
90,12021.3,0.02498,0.42308,0.89855,0.67696,0.72313,0.75491,0.74156,0.14988,0.8265,0.16898,0.007063,0.007063,0.007063
91,12151.5,inf,0.42205,0.89931,0.67598,0.72774,0.75562,0.7398,0.15629,0.84011,0.17674,0.00703,0.00703,0.00703
92,12282.1,0.02308,0.41122,0.89897,0.68209,0.72157,0.75619,0.7421,0.14852,0.82761,0.17126,0.006997,0.006997,0.006997
93,12415.1,inf,0.40573,0.89839,0.68272,0.72074,0.75708,0.74529,0.139,0.81231,0.16369,0.006964,0.006964,0.006964
94,12546.7,0.02435,0.40555,0.89781,0.68204,0.72273,0.75739,0.74516,0.14134,0.81768,0.16776,0.006931,0.006931,0.006931
95,12678.7,0.02388,0.40513,0.90033,0.68166,0.72474,0.75784,0.74494,0.14586,0.82599,0.17479,0.006898,0.006898,0.006898
96,12809.1,0.02404,0.39816,0.89882,0.6807,0.72738,0.7583,0.74812,0.13762,0.81153,0.16695,0.006865,0.006865,0.006865
97,12940,0.02259,0.38957,0.89823,0.68729,0.71948,0.75863,0.75266,0.12274,0.78622,0.15197,0.006832,0.006832,0.006832
98,13070.2,inf,0.38381,0.89962,0.68943,0.71634,0.75907,0.75729,0.10633,0.75836,0.1336,0.006799,0.006799,0.006799
99,13201.7,0.02356,0.3814,0.89931,0.68898,0.7165,0.7597,0.7587,0.10304,0.75324,0.12983,0.006766,0.006766,0.006766
100,13336.1,0.02323,0.37401,0.89803,0.68656,0.71814,0.76002,0.75948,0.10078,0.74888,0.12718,0.006733,0.006733,0.006733
101,13467.5,0.02214,0.37137,0.89943,0.68615,0.72098,0.75993,0.75978,0.09825,0.74492,0.12459,0.0067,0.0067,0.0067
102,13598.4,0.02333,0.37153,0.89867,0.68583,0.72066,0.76041,0.76035,0.0973,0.74293,0.12386,0.006667,0.006667,0.006667
103,13729.5,0.02254,0.36139,0.89827,0.69438,0.71022,0.76082,0.76078,0.09664,0.74382,0.12305,0.006634,0.006634,0.006634
104,13860.8,0.02295,0.36458,0.89802,0.69996,0.70678,0.76092,0.76085,0.09535,0.74437,0.12191,0.006601,0.006601,0.006601
105,13992.9,0.02219,0.35899,0.90006,0.7041,0.70113,0.76031,0.76024,0.0948,0.74693,0.12156,0.006568,0.006568,0.006568
106,14124.1,0.02424,0.34985,0.89805,0.69965,0.70679,0.76043,0.76024,0.09468,0.75145,0.12153,0.006535,0.006535,0.006535
107,14254.6,0.0223,0.34215,0.89806,0.70338,0.70333,0.75997,0.75978,0.09443,0.75424,0.12134,0.006502,0.006502,0.006502
108,14386.7,0.0227,0.33896,0.89814,0.70576,0.70498,0.7598,0.75973,0.09379,0.75344,0.12024,0.006469,0.006469,0.006469
109,14518.1,0.02271,0.33809,0.8982,0.70639,0.70272,0.75954,0.75923,0.09404,0.75949,0.12078,0.006436,0.006436,0.006436
110,14650.5,0.02216,0.33827,0.89926,0.70584,0.70372,0.75948,0.75749,0.09968,0.77667,0.12936,0.006403,0.006403,0.006403
111,14783.7,0.02239,0.33244,0.90058,0.70445,0.70583,0.75974,0.75616,0.10416,0.78782,0.13595,0.00637,0.00637,0.00637
112,14916.9,0.02492,0.33165,0.89885,0.70237,0.70784,0.75936,0.75363,0.11364,0.80717,0.15029,0.006337,0.006337,0.006337
113,15048.1,0.02436,0.32298,0.89952,0.70178,0.70726,0.75961,0.75208,0.12269,0.82661,0.16316,0.006304,0.006304,0.006304
114,15178.3,0.02333,0.32022,0.89888,0.69846,0.7102,0.7592,0.75029,0.12797,0.8391,0.16822,0.006271,0.006271,0.006271
115,15307.6,0.02305,0.31469,0.89761,0.69514,0.71493,0.75946,0.75143,0.12473,0.8375,0.16268,0.006238,0.006238,0.006238
116,15437.1,0.02243,0.31394,0.89889,0.69091,0.71909,0.75923,0.74968,0.13097,0.85369,0.16811,0.006205,0.006205,0.006205
117,15566.8,0.02314,0.31293,0.89724,0.68798,0.72188,0.75937,0.74959,0.13199,0.85825,0.16751,0.006172,0.006172,0.006172
118,15698.5,inf,0.31574,0.89819,0.69316,0.7188,0.75942,0.75349,0.11749,0.83487,0.14932,0.006139,0.006139,0.006139
119,15829.6,0.02345,0.30771,0.89689,0.69008,0.71904,0.75961,0.75359,0.11793,0.83847,0.14871,0.006106,0.006106,0.006106
120,15960.5,0.0236,0.3018,0.89964,0.69045,0.72065,0.76002,0.75473,0.11584,0.83765,0.14456,0.006073,0.006073,0.006073
121,16092.6,0.02197,0.2966,0.89845,0.68927,0.72045,0.76002,0.7556,0.11137,0.83474,0.13947,0.00604,0.00604,0.00604
122,16223.9,inf,0.29604,0.89848,0.68755,0.72346,0.75997,0.75533,0.11274,0.84292,0.14066,0.006007,0.006007,0.006007
123,16355,0.02196,0.29538,0.89695,0.69029,0.72193,0.76031,0.75646,0.1071,0.8386,0.13515,0.005974,0.005974,0.005974
124,16484,0.0227,0.29021,0.89756,0.69905,0.7119,0.76057,0.75871,0.09579,0.82244,0.12398,0.005941,0.005941,0.005941
125,16614.3,0.02379,0.29016,0.90159,0.70386,0.70748,0.76019,0.76002,0.08602,0.79342,0.11364,0.005908,0.005908,0.005908
126,16744.2,0.02281,0.29125,0.89811,0.70397,0.7065,0.76067,0.76061,0.08745,0.79104,0.11448,0.005875,0.005875,0.005875
127,16874.6,0.02439,0.28479,0.8975,0.70235,0.70848,0.76065,0.76061,0.08928,0.7932,0.11576,0.005842,0.005842,0.005842
128,17005.4,0.02382,0.28104,0.89877,0.69711,0.71626,0.76088,0.76087,0.08946,0.79514,0.11585,0.005809,0.005809,0.005809
129,17137.1,0.02267,0.28291,0.89854,0.69685,0.716,0.76076,0.76075,0.08902,0.79743,0.11562,0.005776,0.005776,0.005776
130,17267,0.02192,0.27397,0.89836,0.69897,0.7137,0.76105,0.76104,0.08826,0.80019,0.11518,0.005743,0.005743,0.005743
131,17395.9,0.0214,0.27092,0.89834,0.69943,0.71345,0.76105,0.76104,0.08722,0.80325,0.11463,0.00571,0.00571,0.00571
132,17527.1,inf,0.26975,0.8974,0.69819,0.71363,0.761,0.761,0.08713,0.80652,0.11477,0.005677,0.005677,0.005677
133,17656.8,0.02195,0.26538,0.89876,0.70009,0.71368,0.76112,0.76111,0.08666,0.80974,0.11463,0.005644,0.005644,0.005644
134,17789.8,inf,0.26365,0.89869,0.69156,0.71965,0.76115,0.76115,0.08556,0.81289,0.11394,0.005611,0.005611,0.005611
